course_code,ace_id,course_name,last_verified,credits,category,retired,units,challenges,touchstones,knowledge_checks,milestones,standalone_final,pass_threshold,transfer_partners,sophia_slug
BUSI1025,SOPH-0059,Business Communication,2026-07-24,3,Business,N,4,13,4,0,4,N,70,83,business-communication
BUSI2090,SOPH-0091,Business Data Analytics,2026-07-31,3,Business,N,6,15,2,0,6,N,70,46,business-data-analytics
BUSI1020,SOPH-0076,Business Ethics,2026-07-24,3,Business,N,4,12,2,0,5,Y,70,72,business-ethics
BUSI1050,SOPH-0032,Business Law,2026-07-31,3,Business,N,3,11,1,0,4,Y,70,81,business-law
BUSI1010,SOPH-0010,Financial Accounting,2026-07-31,3,Business,N,4,9,0,0,5,Y,70,86,financial-accounting
BUSI2070,SOPH-0092,Healthcare Management,2026-07-24,3,Business,N,4,18,3,0,4,N,70,46,healthcare-management
BUSI1080,SOPH-0089,Human Resource Management,2026-07-24,3,Business,N,4,16,1,0,4,N,70,58,human-resource-management
BUS1001,SOPH-0014,Introduction to Business,2026-07-24,3,Business,N,4,12,1,0,5,Y,70,88,introduction-to-business
BUSI1011,SOPH-0079,Managerial Accounting,2026-07-24,3,Business,N,4,14,0,0,5,Y,70,72,managerial-accounting
BUSI2030,SOPH-0086,Operations Management,2026-07-24,3,Business,N,4,12,4,0,4,N,70,59,operations-management
BUSI2015,SOPH-0083,Organizational Behavior,2026-07-24,3,Business,N,4,16,3,0,4,N,70,60,organizational-behavior
BUSI1060,SOPH-0044,Personal Finance,2026-07-31,3,Business,N,5,19,2,0,5,N,70,75,personal-finance
BUSI1015,SOPH-0033,Principles of Finance,2026-07-31,3,Business,N,4,15,0,0,5,Y,70,84,principles-of-finance
BUSI2040,SOPH-0096,Principles of Leadership,2026-07-24,3,Business,N,4,19,3,0,4,N,70,17,principles-of-leadership
BUSI1013,SOPH-0054,Principles of Management,2026-07-31,3,Business,N,4,16,1,0,4,N,70,84,principles-of-management
BUSI2020,SOPH-0085,Principles of Marketing,2026-07-24,3,Business,N,4,15,1,0,4,N,70,68,principles-of-marketing
BUSI1023,SOPH-0013,Project Management,2026-07-31,3,Business,N,5,14,2,0,6,Y,70,83,project-management
CRED1010,SOPH-0066,Career Readiness,2026-07-31,3,Career Success,N,4,13,3,0,4,N,70,64,career-readiness
HUMA1005,SOPH-0031,College Readiness,2026-07-31,3,Career Success,N,3,8,1,0,4,Y,70,66,college-readiness
HUMA1041,SOPH-0007,Conflict Resolution,2026-07-31,3,Career Success,N,5,19,0,0,6,Y,70,82,conflict-resolution
BUS1200,SOPH-0021,Developing Effective Teams,2026-07-31,1,Career Success,N,1,3,0,0,1,N,70,63,developing-effective-teams
CS1003,SOPH-0041,IT Career Exploration,2026-07-31,1,Career Success,N,1,3,1,0,1,N,70,55,it-career-exploration
CRED1001,SOPH-0061,Introduction to Career Readiness,2026-07-24,1,Career Success,N,1,4,2,0,1,N,70,53,introduction-to-career-readiness
HUMA1040,SOPH-0026,The Essentials of Managing Conflict,2026-07-31,1,Career Success,N,1,3,0,0,1,N,70,58,the-essentials-of-managing-conflict
ENG1010,SOPH-0050,Workplace Writing I,2026-07-31,3,Career Success,N,4,12,5,0,0,N,70,71,workplace-writing-i
ENG1020,SOPH-0049,Workplace Writing II,2026-07-31,3,Career Success,N,4,10,6,0,0,N,70,76,workplace-writing-ii
CS0050,SOPH-0093,Computer Applications,2026-07-24,1,Computer Science and IT,N,2,4,2,0,2,N,70,24,computer-applications
CS0060,SOPH-0097,Digital Literacy,2026-07-24,1,Computer Science and IT,N,2,6,1,0,2,N,70,11,digital-literacy
CS1001,SOPH-0023,Introduction to Information Technology,2026-07-24,3,Computer Science and IT,N,4,11,1,0,5,Y,70,90,introduction-to-information-technology
CS1101,SOPH-0062,Introduction to Java Programming,2026-07-31,3,Computer Science and IT,N,4,11,1,0,3,N,70,72,introduction-to-java-programming
CS1015,SOPH-0068,Introduction to Networking,2026-07-31,3,Computer Science and IT,N,5,15,1,0,6,Y,70,66,introduction-to-networking
CS1100,SOPH-0058,Introduction to Python Programming,2026-07-31,3,Computer Science and IT,N,4,11,1,0,3,N,70,71,introduction-to-python-programming
CS1011,SOPH-0047,Introduction to Relational Databases,2026-07-31,3,Computer Science and IT,N,5,19,0,0,6,Y,70,77,introduction-to-relational-databases
CS1005,SOPH-0043,Introduction to Web Development,2026-07-31,3,Computer Science and IT,N,3,10,1,0,3,N,70,77,introduction-to-web-development
ENG1001,SOPH-0015,English Composition I,2026-07-31,3,English and Communication,N,4,14,5,0,0,N,70,103,english-composition-i
ENG1002,SOPH-0030,English Composition II,2026-07-31,3,English and Communication,N,4,9,7,0,0,N,70,102,english-composition-ii
ENG0050,SOPH-0019,Foundations of English Composition,2026-07-24,3,English and Communication,N,4,8,3,0,4,N,70,49,foundations-of-english-composition
COMM1002,SOPH-0024,Public Speaking,2026-07-31,3,English and Communication,N,5,14,4,0,5,N,70,104,public-speaking
COMM1005,SOPH-0009,Visual Communications,2026-07-31,3,English and Communication,N,4,11,1,0,5,Y,70,86,visual-communications
COMM1010,SOPH-0034,Workplace Communication,2026-07-31,3,English and Communication,N,4,12,2,0,3,N,70,86,workplace-communication
PHIL1001,SOPH-0027,Ancient Greek Philosophers,2026-07-31,3,Humanities,N,1,4,2,0,1,N,70,88,ancient-greek-philosophers
REL1001,SOPH-0008,Approaches to Studying Religions,2026-07-31,3,Humanities,N,3,15,3,0,4,Y,70,88,approaches-to-studying-religions
ArtHist1001,SOPH-0006,Art History I,2026-07-31,3,Humanities,N,4,16,1,0,5,Y,70,98,art-history-i
HUMA1012,SOPH-0029,Art History II,2026-07-31,3,Humanities,N,4,14,1,0,5,Y,70,90,art-history-ii
PHIL1005,SOPH-0065,Critical Thinking,2026-07-31,3,Humanities,N,4,13,2,0,4,N,70,85,critical-thinking
PHIL1002,SOPH-0020,Introduction to Ethics,2026-07-24,3,Humanities,N,4,13,3,0,5,Y,70,95,introduction-to-ethics
FREN1001,SOPH-0077,French I,2026-07-24,3,Language,N,3,12,5,0,4,Y,70,71,french-i
SPAN1001,SOPH-0057,Spanish I,2026-07-24,3,Language,N,3,9,5,0,4,Y,70,85,spanish-i
SPAN1002,SOPH-0064,Spanish II,2026-07-24,3,Language,N,3,9,5,0,4,Y,70,83,spanish-ii
MATH1040,SOPH-0060,Calculus I,2026-07-24,4,Math,N,5,21,0,0,6,Y,70,92,calculus-i
MATH1001,SOPH-0001,College Algebra,2026-07-31,3,Math,N,5,22,0,0,6,Y,70,104,college-algebra
STAT0050,SOPH-0017,Foundations of Statistics,2026-07-24,2,Math,N,2,5,0,0,3,Y,70,50,foundations-of-statistics
MATH1020,SOPH-0055,Introduction to College Mathematics,2026-07-24,3,Math,N,5,15,0,0,6,Y,70,76,introduction-to-college-mathematics
STAT1001,SOPH-0005,Introduction to Statistics,2026-07-31,3,Math,N,5,20,0,0,6,Y,70,102,introduction-to-statistics
MATH1035,SOPH-0069,Precalculus,2026-07-31,3,Math,N,5,17,0,0,6,Y,70,83,precalculus
SCIE1050,SOPH-0073,Anatomy and Physiology I,2026-07-31,3,Science,N,4,17,0,0,5,Y,70,82,anatomy-and-physiology-i
SCIE1055,SOPH-0081,Anatomy and Physiology II,2026-07-31,3,Science,N,4,13,0,0,4,Y,70,71,anatomy-and-physiology-ii
HLTH1011,SOPH-0080,"Health, Fitness, and Wellness",2026-07-31,3,Science,N,4,13,1,0,5,Y,70,55,health-fitness-and-wellness
SCIE1020,SOPH-0002,Human Biology,2026-07-31,3,Science,N,6,21,0,0,7,Y,70,100,human-biology
